Compound	SMILES	Name	FingerprintNames	ECFP_4
CL1	CC1=NC(=CS1)C=2C=CC=C(NC(=O)CCl)C2	2-chloro-N-[3-(2-methyl-1,3-thiazol-4-yl)phenyl]acetamide	ECFP_4	0010000000000010000000000000000000010001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000010000000000000001000000000000000001000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL2	CN(C)C(=O)C=1C=CC(NC(=O)CCl)=CC1	4-(2-chloroacetamido)-N,N-dimethylbenzamide	ECFP_4	0010000010000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100001000000000000000000000000000000100000000000000000001000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL3	CCC(NC(=O)CCl)C=1C=CC(Cl)=CC1	2-chloro-N-[1-(4-chlorophenyl)propyl]acetamide	ECFP_4	0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000010000010000000000000000000000000000000000000000000000010000000001001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL4	CC=1C=C(Cl)C=CC1NC(=O)CCl	2-chloro-N-(4-chloro-2-methylphenyl)acetamide	ECFP_4	0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL5	ClCC(=O)NC1CCC2(CC1)OCCO2	2-chloro-N-{1,4-dioxaspiro[4.5]decan-8-yl}acetamide	ECFP_4	0010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000100000100000000000000000000000000000000000000001000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL6	COC=1C=CC(C2CCCN2C(=O)CCl)=C(OC)C1	2-chloro-1-[2-(2,4-dimethoxyphenyl)pyrrolidin-1-yl]ethan-1-one	ECFP_4	0010000000000000000000001000000000000000000000000000000000000000000000000000000000010000000001000000100000000100000000000000001000101001000000000000000000000000000000000000000000001000100000100000000000001000001100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL7	FC(F)(F)C1CCC(CC1)NC(=O)CCl	2-chloro-N-[4-(trifluoromethyl)cyclohexyl]acetamide	ECFP_4	0010001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000010000010000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL8	CN(C(=O)CCl)C1=NC=2C=CC=CC2S1	N-(1,3-benzothiazol-2-yl)-2-chloro-N-methylacetamide	ECFP_4	0010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100010000000000000001000000000000000000000100000001000000000000000000000000000000000000000100000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL9	CC=1C=CC(C)=C(NC(=O)CCl)C1	2-chloro-N-(2,5-dimethylphenyl)acetamide	ECFP_4	0010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000010000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL10	COC=1C=CC=2N=C(NC(=O)CCl)SC2C1	2-chloro-N-(6-methoxy-1,3-benzothiazol-2-yl)acetamide	ECFP_4	0010000000000000000000000000000000000100000000000000000000000000000000000000000000000000010001000000100000001000000000000000000100010100000000000000000000000000000000000000000000001000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
